date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:30	107846/107846	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-1a546%22	https://dashui.codescandy.com/dashuipro/index.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/index.html	(from )
14:31:32	50/50	---MCZ	200	added ('OK')	text/plain	date:Mon,%2012%20Jun%202023%2013:31:32%20GMT	https://dashui.codescandy.com/robots.txt		(from )
14:31:32	15406/15406	---M--	200	added ('OK')	image/x-icon	etag:%2264266d77-3c2e%22	https://dashui.codescandy.com/dashuipro/assets/images/favicon/favicon.ico	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/assets/images/favicon/favicon.ico	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:34	80510/80510	---MCZ	200	added ('OK')	text/css	etag:W/%2264266d77-13a7e%22	https://dashui.codescandy.com/dashuipro/assets/libs/bootstrap-icons/font/bootstrap-icons.css	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/assets/libs/bootstrap-icons/font/bootstrap-icons.css	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:35	305022/305022	---MCZ	200	added ('OK')	text/css	etag:W/%2264266d77-4a77e%22	https://dashui.codescandy.com/dashuipro/assets/libs/@mdi/font/css/materialdesignicons.min.css	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/assets/libs/@mdi/font/css/materialdesignicons.min.css	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:36	2937/2937	---MCZ	200	added ('OK')	text/css	etag:W/%2264266d78-b79%22	https://dashui.codescandy.com/dashuipro/assets/libs/simplebar/dist/simplebar.min.css	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/assets/libs/simplebar/dist/simplebar.min.css	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:37	512935/512935	---MCZ	200	added ('OK')	text/css	etag:W/%2264266d77-7d3a7%22	https://dashui.codescandy.com/dashuipro/assets/css/theme.min.css	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/assets/css/theme.min.css	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:38	7337/7337	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264266d77-1ca9%22	https://dashui.codescandy.com/dashuipro/assets/images/brand/logo/logo-2.svg	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/assets/images/brand/logo/logo-2.svg	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:38	56047/56047	---M--	200	added ('OK')	image/jpeg	etag:%2264266d77-daef%22	https://dashui.codescandy.com/dashuipro/assets/images/avatar/avatar-11.jpg	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/assets/images/avatar/avatar-11.jpg	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:40	72516/72516	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-11b44%22	https://dashui.codescandy.com/dashuipro/pages/dashboard-analytics.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/dashboard-analytics.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:41	75006/75006	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-124fe%22	https://dashui.codescandy.com/dashuipro/pages/dashboard-ecommerce.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/dashboard-ecommerce.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:42	72200/72200	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-11a08%22	https://dashui.codescandy.com/dashuipro/pages/dashboard-crm.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/dashboard-crm.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:43	75155/75155	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-12593%22	https://dashui.codescandy.com/dashuipro/pages/dashboard-finance.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/dashboard-finance.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:44	73888/73888	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-120a0%22	https://dashui.codescandy.com/dashuipro/pages/dashboard-blog.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/dashboard-blog.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:45	51491/51491	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-c923%22	https://dashui.codescandy.com/dashuipro/pages/calendar.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/calendar.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:46	176505/176505	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-2b179%22	https://dashui.codescandy.com/dashuipro/pages/chat-app.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/chat-app.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:47	95837/95837	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-1765d%22	https://dashui.codescandy.com/dashuipro/pages/ecommerce-products.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/ecommerce-products.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:48	77025/77025	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-12ce1%22	https://dashui.codescandy.com/dashuipro/pages/ecommerce-products-details.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/ecommerce-products-details.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:49	55667/55667	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-d973%22	https://dashui.codescandy.com/dashuipro/pages/ecommerce-product-edit.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/ecommerce-product-edit.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:50	72509/72509	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-11b3d%22	https://dashui.codescandy.com/dashuipro/pages/ecommerce-order-list.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/ecommerce-order-list.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:51	52239/52239	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-cc0f%22	https://dashui.codescandy.com/dashuipro/pages/ecommerce-order-detail.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/ecommerce-order-detail.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:52	59384/59384	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-e7f8%22	https://dashui.codescandy.com/dashuipro/pages/ecommerce-cart.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/ecommerce-cart.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:53	74042/74042	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-1213a%22	https://dashui.codescandy.com/dashuipro/pages/ecommerce-checkout.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/ecommerce-checkout.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:54	83236/83236	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-14524%22	https://dashui.codescandy.com/dashuipro/pages/ecommerce-customer.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/ecommerce-customer.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:55	56941/56941	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-de6d%22	https://dashui.codescandy.com/dashuipro/pages/ecommerce-seller.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/ecommerce-seller.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:56	107365/107365	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-1a365%22	https://dashui.codescandy.com/dashuipro/pages/mail.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/mail.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:57	64973/64973	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-fdcd%22	https://dashui.codescandy.com/dashuipro/pages/mail-details.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/mail-details.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:58	57898/57898	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-e22a%22	https://dashui.codescandy.com/dashuipro/pages/mail-draft.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/mail-draft.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:31:59	138111/138111	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-21b7f%22	https://dashui.codescandy.com/dashuipro/pages/task-kanban-grid.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/task-kanban-grid.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:00	90464/90464	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-16160%22	https://dashui.codescandy.com/dashuipro/pages/task-kanban-list.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/task-kanban-list.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:01	112224/112224	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-1b660%22	https://dashui.codescandy.com/dashuipro/pages/project-grid.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/project-grid.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:02	99374/99374	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-1842e%22	https://dashui.codescandy.com/dashuipro/pages/project-list.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/project-list.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:03	82196/82196	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-14114%22	https://dashui.codescandy.com/dashuipro/pages/project-overview.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/project-overview.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:04	79327/79327	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-135df%22	https://dashui.codescandy.com/dashuipro/pages/project-task.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/project-task.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:05	74082/74082	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-12162%22	https://dashui.codescandy.com/dashuipro/pages/project-budget.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/project-budget.html	(from https://dashui.codescandy.com/dashuipro/index.html)
